,PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ONTOLOGY(S),SOURCE(S),ontology_uri
854,Curvularia plantarum,Curvularia plantarum,NCBITaxon_2598762,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2598762
855,Curvularia pseudobrachyspora,Curvularia pseudobrachyspora,NCBITaxon_2051582,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2051582
856,Curvularia senegalensis,Curvularia senegalensis,NCBITaxon_215132,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_215132
857,Cycad leaf necrosis virus,Cycad leaf necrosis virus,NCBITaxon_549205,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_549205
858,Cyclorhipidion fukiense,Cyclorhipidion fukiense,NCBITaxon_2696737,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2696737
859,Cylas formicarius,Cylas formicarius,NCBITaxon_197179,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_197179
860,Cytospora kuanchengensis,Cytospora kuanchengensis,NCBITaxon_2508856,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2508856
861,Cytospora kunzei,Cytospora kunzei,NCBITaxon_1928368,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1928368
862,Cytospora pistaciae,Cytospora pistaciae,NCBITaxon_2421471,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2421471
863,Cytospora vinacea,Cytospora vinacea,NCBITaxon_1891351,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1891351
864,Cytospora viticola,Cytospora viticola,NCBITaxon_1891352,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1891352
865,Cytospora xinglongensis,Cytospora xinglongensis,NCBITaxon_2508860,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2508860
866,Dactylonectria macrodidyma,Dactylonectria macrodidyma,NCBITaxon_307937,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_307937
867,Dactylonectria novozelandica,Dactylonectria novozelandica,NCBITaxon_1079263,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1079263
868,Dactylonectria torresensis,Dactylonectria torresensis,NCBITaxon_1199091,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1199091
869,Dactylopius coccus,Dactylopius coccus,NCBITaxon_765876,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_765876
870,Dactylopius opuntiae,Dactylopius opuntiae,NCBITaxon_701504,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_701504
871,Dahlia mosaic virus,Dahlia mosaic virus,NCBITaxon_213888,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_213888
872,Dalbulus maidis,Dalbulus maidis,NCBITaxon_74065,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_74065
873,Dasineura oleae,Dasineura oleae,NCBITaxon_2597404,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2597404
874,Date palm virus A,Date palm-associated virus A,NCBITaxon_2696289,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2696289
875,Deanolis sublimbalis,Deanolis sublimbalis,NCBITaxon_2203909,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2203909
876,Delottococcus aberiae,Delottococcus aberiae,NCBITaxon_1112575,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1112575
877,Dematophora bunodes,Dematophora bunodes,NCBITaxon_2703774,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2703774
878,Dendroctonus armandi,Dendroctonus armandi,NCBITaxon_77159,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_77159
879,Dendroctonus rhizophagus,Dendroctonus rhizophagus,NCBITaxon_77169,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_77169
880,Dendrolimus superans,Dendrolimus superans,NCBITaxon_420590,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_420590
881,Dendrothrips minowai,Dendrothrips minowai,NCBITaxon_1030662,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1030662
882,Deudorix livia,Deudorix livia,NCBITaxon_2802467,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2802467
883,Diabrotica speciosa,Diabrotica speciosa,NCBITaxon_133126,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_133126
884,Diabrotica virgifera virgifera,Diabrotica virgifera virgifera,NCBITaxon_50390,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_50390
885,Dialeurodes citri,Dialeurodes citri,NCBITaxon_298404,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_298404
886,Diaphania indica,Diaphania indica,NCBITaxon_390977,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_390977
887,Diaphorina communis,Diaphorina communis,NCBITaxon_2050950,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2050950
888,Diaporthe ambigua,Diaporthe ambigua,NCBITaxon_73123,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_73123
889,Diaporthe biconispora,Diaporthe biconispora,NCBITaxon_1766650,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1766650
890,Diaporthe chamaeropis,Diaporthe chamaeropis,NCBITaxon_1303536,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1303536
891,Diaporthe crousii,Diaporthe crousii,NCBITaxon_2710531,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2710531
892,Diaporthe drenthii,Diaporthe drenthii,NCBITaxon_2715450,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2715450
893,Diaporthe foeniculina,Diaporthe foeniculina,NCBITaxon_1469663,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1469663
894,Diaporthe humulicola,Diaporthe humulicola,NCBITaxon_2593060,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2593060
895,Diaporthe hybrida,Diaporthe x hybrida,NCBITaxon_2899245,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2899245
896,Diaporthe kongii,Diaporthe kongii,NCBITaxon_1116856,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1116856
897,Diaporthe nebulae,Diaporthe nebulae,NCBITaxon_2562763,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2562763
898,Diaporthe phillipsii,Diaporthe phillipsii,NCBITaxon_2711302,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2711302
899,Diaporthe phyllanthicola,Diaporthe phyllanthicola,NCBITaxon_280248,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_280248
900,Diaporthe rosiphthora,Diaporthe rosiphthora,NCBITaxon_2725336,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2725336
901,Diaporthe rossmaniae,Diaporthe rossmaniae,NCBITaxon_2711303,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2711303
902,Diaporthe sapindicola,Diaporthe sapindicola,NCBITaxon_2894586,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2894586
903,Diaporthe silvicola,Intasuchus silvicola,VTO_9031000,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/vto.owl,http://purl.obolibrary.org/obo/VTO_9031000
904,Diaporthe sinensis,Diaporthe sinensis,NCBITaxon_2609235,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2609235
905,Diaporthe sp. 1-MI,Diaporthe sp. 1-MI,NCBITaxon_2766524,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2766524
906,Diaporthe ueckerae,Diaporthe ueckerae,NCBITaxon_1590080,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1590080
907,Diaporthe vaccinii,Diaporthe vaccinii,NCBITaxon_105482,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_105482
908,Diaporthe vacuae,Diaporthe vacuae,NCBITaxon_2711304,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2711304
909,Diaspidiotus ancylus,Diaspidiotus ancylus,NCBITaxon_862673,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_862673
910,Diatraea saccharalis,Diatraea saccharalis,NCBITaxon_40085,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_40085
911,Diceraeus melacanthus,Dichelops melacanthus,NCBITaxon_1225065,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1225065
912,Dichelops furcatus,Dichelops furcatus,NCBITaxon_1820103,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1820103
913,Dickeya fangzhongdai,Dickeya fangzhongdai,NCBITaxon_1778540,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1778540
914,Dickeya poaceiphila,Dickeya poaceiphila,NCBITaxon_568768,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_568768
915,Didymella americana,Didymella americana,NCBITaxon_749596,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_749596
916,Didymella bellidis,Didymella bellidis,NCBITaxon_749649,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_749649
917,Didymella corylicola,Didymella corylicola,NCBITaxon_2698935,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2698935
918,Dioryctria pryeri,Dioryctria pryeri,NCBITaxon_2249530,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2249530
919,Dioryctria rubella,Dioryctria rubella,NCBITaxon_357119,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_357119
920,Dioscorea mosaic associated virus,Dioscorea mosaic associated virus,NCBITaxon_2170181,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2170181
921,Diplodia africana,Diplodia africana,NCBITaxon_448126,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_448126
922,Diplodia bulgarica,Diplodia bulgarica,NCBITaxon_856259,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_856259
923,Diplodia corticola,Diplodia corticola,NCBITaxon_236234,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_236234
924,Diplodia fraxini,Diplodia fraxini,NCBITaxon_856250,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_856250
925,Diplodia quercicola,Diplodia quercicola,NCBITaxon_2598780,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2598780
926,Diplodia scrobiculata,Diplodia scrobiculata,NCBITaxon_280322,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_280322
927,Diplodia subglobosa,Diplodia subglobosa,NCBITaxon_2201230,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2201230
928,Diprion pini,Diprion pini,NCBITaxon_52634,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_52634
929,Ditylenchus africanus,Ditylenchus africanus,NCBITaxon_490491,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_490491
930,Ditylenchus destructor,Ditylenchus destructor,NCBITaxon_166010,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_166010
931,Ditylenchus dipsaci,Ditylenchus dipsaci,NCBITaxon_166011,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_166011
932,Diuncus haberkorni,Diuncus haberkorni,NCBITaxon_995726,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_995726
933,Donacia provostii,Donacia provostii,NCBITaxon_225698,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_225698
934,Dothiorella citrimurcotticola,Dothiorella citrimurcotticola,NCBITaxon_2951187,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2951187
935,Drosicha corpulenta,Drosicha corpulenta,NCBITaxon_535978,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_535978
936,Dryocoetes himalayensis,Dryocoetes himalayensis,NCBITaxon_2696755,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2696755
937,Dryoxylon onoharaense,Dryoxylon onoharaense,NCBITaxon_124010,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_124010
938,Dynamis borassi,Dynamis borassi,NCBITaxon_206442,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_206442
939,Dysmicoccus neobrevipes,Dysmicoccus neobrevipes,NCBITaxon_38114,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_38114
940,Dysmicoccus wistariae,Dysmicoccus wistariae,NCBITaxon_648332,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_648332
941,Earias roseifera,Earias roseifera,NCBITaxon_1178094,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1178094
942,Earias vittella,Earias vittella,NCBITaxon_1372994,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1372994
943,Earliella scabrosa,Earliella scabrosa,NCBITaxon_2478900,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2478900
944,East Asian Passiflora distortion virus,East Asian Passiflora distortion virus,NCBITaxon_2734556,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2734556
945,Ectostroma robiniae,Erysiphe robiniae,NCBITaxon_2490546,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2490546
946,Eggplant mottled crinkle virus,Eggplant mottled crinkle virus,NCBITaxon_270256,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_270256
947,Eggplant mottled dwarf nucleorhabdovirus,Eggplant mottled dwarf nucleorhabdovirus,NCBITaxon_488317,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_488317
948,Elachiptera decipiens,Elachiptera decipiens,NCBITaxon_1692369,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1692369
949,Elasmopalpus lignosellus,Elasmopalpus lignosellus,NCBITaxon_1511197,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1511197
950,Elsinoe coryli,Elsinoe coryli,NCBITaxon_1822375,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1822375
951,Elsinoe necatrix,Elsinoe necatrix,NCBITaxon_2778755,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2778755
952,Empoasca fabae,Empoasca fabae,NCBITaxon_139595,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_139595
953,Endoclita excrescens,Endoclita excrescens,NCBITaxon_2600278,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2600278
954,Endoconidiophora laricicola,Endoconidiophora laricicola,NCBITaxon_1580848,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1580848
955,Endothia chinensis,Endothia chinensis,NCBITaxon_2233841,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2233841
956,Ennomos subsignaria,Ennomos subsignaria,NCBITaxon_216861,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_216861
957,Eoreuma loftini,Eoreuma loftini,NCBITaxon_236801,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_236801
958,Eotetranychus boreus,Eotetranychus boreus,NCBITaxon_1490242,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1490242
959,Eotetranychus hirsti,Eotetranychus hirsti,NCBITaxon_1604325,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1604325
960,Eotetranychus sexmaculatus,Eotetranychus sexmaculatus,NCBITaxon_2805793,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2805793
961,Epicoccum latusicollum,Epicoccum latusicollum,NCBITaxon_2021037,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2021037
962,Epicoccum sorghinum,Epicoccum sorghinum,NCBITaxon_749593,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_749593
963,Epiphyas postvittana,Epiphyas postvittana,NCBITaxon_65032,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_65032
964,Epiphyllum virus 4,Epiphyllum virus 4,NCBITaxon_2713640,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2713640
965,Erasmoneura vulnerata,Erasmoneura vulnerata,NCBITaxon_680300,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_680300
966,Eremothecium coryli,Eremothecium coryli,NCBITaxon_33173,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_33173
967,Erthesina fullo,Erthesina fullo,NCBITaxon_299276,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_299276
968,Erwinia persicina,Erwinia persicina,NCBITaxon_55211,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_55211
969,Erwinia pyrifoliae,Erwinia pyrifoliae,NCBITaxon_79967,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_79967
970,Erwinia tracheiphila,Erwinia tracheiphila,NCBITaxon_65700,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_65700
971,Erysiphe berberidicola,Erysiphe berberidicola,NCBITaxon_1571538,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1571538
972,Erysiphe corylacearum,Erysiphe corylacearum,NCBITaxon_1250545,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1250545
973,Erysiphe quercicola,Erysiphe quercicola,NCBITaxon_425177,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_425177
974,Erysiphe salmonii,Erysiphe salmonii,NCBITaxon_1708647,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1708647
975,Erysiphe sedi,Erysiphe sedi,NCBITaxon_870199,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_870199
976,Erysiphe vignae,Erysiphe vignae,NCBITaxon_2745615,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_2745615
977,Ethiopian tobacco bushy top virus,Ethiopian tobacco bushy top virus,NCBITaxon_1538549,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1538549
978,Eudocima materna,Eudocima materna,NCBITaxon_1123336,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1123336
979,Eulachnus thunbergii,Eulachnus thunbergii,NCBITaxon_796214,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_796214
980,Eulachnus tuberculostemmatus,Eulachnus tuberculostemmatus,NCBITaxon_1667250,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1667250
981,Eulecanium cerasorum,Eulecanium cerasorum,NCBITaxon_1527586,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1527586
982,Eupatorus gracilicornis,Eupatorus gracilicornis,NCBITaxon_1247164,http://purl.obolibrary.org/obo/,http://purl.obolibrary.org/obo/ncbitaxon.owl,http://purl.obolibrary.org/obo/NCBITaxon_1247164
